PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
VariableCost,BAU,GUA,PPNGS,,,1,2028,,,,,,0.0045
VariableCost,BAU,GUA,PPNGS,,,1,2029,,,,,,0.0045
VariableCost,BAU,GUA,PPNGS,,,1,2030,,,,,,0.0045
VariableCost,BAU,GUA,PPNGS,,,1,2031,,,,,,0.0045
VariableCost,BAU,GUA,PPNGS,,,1,2032,,,,,,0.0045
VariableCost,BAU,GUA,PPNGS,,,1,2033,,,,,,0.0045
VariableCost,BAU,GUA,PPNGS,,,1,2034,,,,,,0.0045
VariableCost,BAU,GUA,PPNGS,,,1,2035,,,,,,0.0045
VariableCost,BAU,GUA,PPNGS,,,1,2036,,,,,,0.0045
VariableCost,BAU,GUA,PPNGS,,,1,2037,,,,,,0.0045
VariableCost,BAU,GUA,PPNGS,,,1,2038,,,,,,0.0045
VariableCost,BAU,GUA,PPNGS,,,1,2039,,,,,,0.0045
VariableCost,BAU,GUA,PPNGS,,,1,2040,,,,,,0.0045
VariableCost,BAU,GUA,PPNGS,,,1,2041,,,,,,0.0045
VariableCost,BAU,GUA,PPNGS,,,1,2042,,,,,,0.0045
VariableCost,BAU,GUA,PPNGS,,,1,2043,,,,,,0.0045
VariableCost,BAU,GUA,PPNGS,,,1,2044,,,,,,0.0045
VariableCost,BAU,GUA,PPNGS,,,1,2045,,,,,,0.0045
VariableCost,BAU,GUA,PPNGS,,,1,2046,,,,,,0.0045
VariableCost,BAU,GUA,PPNGS,,,1,2047,,,,,,0.0045
VariableCost,BAU,GUA,PPNGS,,,1,2048,,,,,,0.0045
VariableCost,BAU,GUA,PPNGS,,,1,2049,,,,,,0.0045
VariableCost,BAU,GUA,PPNGS,,,1,2050,,,,,,0.0045
VariableCost,BAU,GUA,BACKSTOP,,,1,2018,,,,,,9999999.0
VariableCost,BAU,GUA,BACKSTOP,,,1,2019,,,,,,9999999.0
VariableCost,BAU,GUA,BACKSTOP,,,1,2020,,,,,,9999999.0
VariableCost,BAU,GUA,BACKSTOP,,,1,2021,,,,,,9999999.0
VariableCost,BAU,GUA,BACKSTOP,,,1,2022,,,,,,9999999.0
VariableCost,BAU,GUA,BACKSTOP,,,1,2023,,,,,,9999999.0
VariableCost,BAU,GUA,BACKSTOP,,,1,2024,,,,,,9999999.0
VariableCost,BAU,GUA,BACKSTOP,,,1,2025,,,,,,9999999.0
VariableCost,BAU,GUA,BACKSTOP,,,1,2026,,,,,,9999999.0
VariableCost,BAU,GUA,BACKSTOP,,,1,2027,,,,,,9999999.0
VariableCost,BAU,GUA,BACKSTOP,,,1,2028,,,,,,9999999.0
VariableCost,BAU,GUA,BACKSTOP,,,1,2029,,,,,,9999999.0
VariableCost,BAU,GUA,BACKSTOP,,,1,2030,,,,,,9999999.0
VariableCost,BAU,GUA,BACKSTOP,,,1,2031,,,,,,9999999.0
VariableCost,BAU,GUA,BACKSTOP,,,1,2032,,,,,,9999999.0
VariableCost,BAU,GUA,BACKSTOP,,,1,2033,,,,,,9999999.0
VariableCost,BAU,GUA,BACKSTOP,,,1,2034,,,,,,9999999.0
VariableCost,BAU,GUA,BACKSTOP,,,1,2035,,,,,,9999999.0
VariableCost,BAU,GUA,BACKSTOP,,,1,2036,,,,,,9999999.0
VariableCost,BAU,GUA,BACKSTOP,,,1,2037,,,,,,9999999.0
VariableCost,BAU,GUA,BACKSTOP,,,1,2038,,,,,,9999999.0
VariableCost,BAU,GUA,BACKSTOP,,,1,2039,,,,,,9999999.0
VariableCost,BAU,GUA,BACKSTOP,,,1,2040,,,,,,9999999.0
VariableCost,BAU,GUA,BACKSTOP,,,1,2041,,,,,,9999999.0
VariableCost,BAU,GUA,BACKSTOP,,,1,2042,,,,,,9999999.0
VariableCost,BAU,GUA,BACKSTOP,,,1,2043,,,,,,9999999.0
VariableCost,BAU,GUA,BACKSTOP,,,1,2044,,,,,,9999999.0
VariableCost,BAU,GUA,BACKSTOP,,,1,2045,,,,,,9999999.0
VariableCost,BAU,GUA,BACKSTOP,,,1,2046,,,,,,9999999.0
VariableCost,BAU,GUA,BACKSTOP,,,1,2047,,,,,,9999999.0
VariableCost,BAU,GUA,BACKSTOP,,,1,2048,,,,,,9999999.0
VariableCost,BAU,GUA,BACKSTOP,,,1,2049,,,,,,9999999.0
VariableCost,BAU,GUA,BACKSTOP,,,1,2050,,,,,,9999999.0
